id,user_id,family_id,member_id,scheme_id,sent_approve,scheme_alooted_date,zone,district_id,block_code,ward_village_code,othersubscheme,scheme_comment,otherdepartment,otherscheme,scheme_department_id,sch_cat_dep_rel_id,newdepart_id,newschm_id,reject_status,approved_by_district_user_id,rejected_by_district_user_id,sention_remarks,sention_status,sanction_date,noscheme,transfer_from_dep,transfer_from_scheme,transfer_from_dist,loan_amount,incomeIncreaseUpto,radiobuttonStatus,member_scheme_active
67,174,3JQN2902,BPLM7039,67,1,23/08/2021,Z095,8,,,\N,steaching,,,\N,19,11,29,0,376,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
68,174,3COM3075,HKLO0657,25,0,23/08/2021,Z095,8,,,\N,"work
",,,\N,8,5,16,1,70,70,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
75,174,3COM3075,SLNS5926,25,0,23/08/2021,Z095,8,,,\N,work,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
76,174,3COM3075,ZEFX3306,25,0,23/08/2021,Z095,8,,,\N,work,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
77,174,3COM3075,UNPN7562,25,0,23/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
87,106,6AEH9061,EDWI3953,67,0,24/08/2021,Z253,20,,,\N,  ,,,\N,19,11,29,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
93,174,1YNS1826,GOGA8234,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
94,174,2RCB8846,JFCI1155,25,0,26/08/2021,Z095,8,,,\N,"worker
",,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
95,174,4LAH1648,PSZF1539,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
96,174,3NNC8760,BCTB4448,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
97,174,3QAZ3355,ZTYT9777,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
98,174,6FEW5364,DXCN5213,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
99,174,4HFL4080,ZNQE1677,25,0,26/08/2021,Z095,8,,,\N,worker,,,\N,8,5,16,0,\N,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
100,237,2OAO3855,RXDR3528,16,0,26/08/2021,Z138,11,,,\N,सॉफ्ट ड्रिंक्स की एजेंसी,,,\N,4,9,24,1,\N,2,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
101,192,3HXU8591,GXVA9900,24,0,26/08/2021,Z185,14,,,\N,trainings,,,\N,7,5,16,1,249,249,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
102,237,3DYC2817,JYPB6637,25,1,26/08/2021,Z138,11,,,\N,फैशन डिजाइन,,,\N,8,5,16,0,250,\N,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
103,192,3HXU8591,PSLZ7397,14,0,26/08/2021,Z185,14,,,\N,to take loan ,,,\N,4,2,56,1,\N,389,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
104,237,2OAO3855,ARFQ9297,12,0,26/08/2021,Z138,11,,,\N,चूड़ी शॉप,,,\N,4,9,24,0,\N,,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
105,192,2NKG5782,LMZL5503,65,0,26/08/2021,Z185,14,,,\N,pension,,,\N,18,11,28,1,\N,380,\N,0,\N,0,\N,\N,\N,\N,\N,\N,1
